created_at,text,url,replies,retweets,favorites,user,bioguide_id,party,state
10/11/17 16:02,"Resurfacing this video. @POTUS should work to strengthen our #FirstAmendment rights, not tear them down. https://t.co/ymylWEq6P7",https://twitter.com/SenBennetCO/status/918144707401781249,21,62,259,SenBennetCO,B001267,D,CO
10/11/17 15:59,@POTUS .@FCC &amp; @AjitPaiFCC: Please clarify FCC‰Ûªs independence so @POTUS‰Ûª threats don‰Ûªt have chilling effect on free speech.,https://twitter.com/SenBennetCO/status/918144155888611328,8,14,65,SenBennetCO,B001267,D,CO
10/11/17 15:58,.@POTUS continues his effort to undermine the #FirstAmendment and freedom of the press. https://t.co/J9YuAy1qRG,https://twitter.com/SenBennetCO/status/918143888665214977,47,96,334,SenBennetCO,B001267,D,CO
10/10/17 19:45,@EPAScottPruitt Admin should reverse shortsighted &amp; damaging decision. Clear its priorities are not in line with th‰Û_ https://t.co/J7Be44Oojp,https://twitter.com/SenBennetCO/status/917838506961113088,5,14,43,SenBennetCO,B001267,D,CO
10/10/17 19:44,@EPAScottPruitt Proof we need #PollutionTransparency &amp; why we intro'd bill last week to standardize cost of climate‰Û_ https://t.co/uIt0VcG7zF,https://twitter.com/SenBennetCO/status/917838307773632512,6,14,35,SenBennetCO,B001267,D,CO
10/10/17 19:44,"What‰Ûªs more: In #CPP revision, @EPAScottPruitt only accounts for 14% of scientifically-developed value of cutting carbon emissions. 3/5",https://twitter.com/SenBennetCO/status/917838181084684288,2,10,29,SenBennetCO,B001267,D,CO
10/10/17 19:43,"In CO, we already committed to meet carbon standards set under #CPP &amp; will continue to create jobs, save money &amp; pr‰Û_ https://t.co/wc8biwGJG3",https://twitter.com/SenBennetCO/status/917837910690488320,5,19,72,SenBennetCO,B001267,D,CO
10/10/17 19:42,#CPP repeal‰ÛÓwhich admin justifies w/ alternative facts‰ÛÓthreatens thousands of new jobs &amp; billions in revenue while‰Û_ https://t.co/fVsvTxf33f,https://twitter.com/SenBennetCO/status/917837665642405888,13,56,109,SenBennetCO,B001267,D,CO
10/10/17 15:05,Impressed by @Solar_Decathlon students in Denver. They‰Ûªre studying STEM &amp; helping build #cleanenergy economy for th‰Û_ https://t.co/HT9MVnH2b5,https://twitter.com/SenBennetCO/status/917768045975736320,5,14,99,SenBennetCO,B001267,D,CO
10/9/17 20:19,"Proposal is unnecessarily cruel &amp; wasteful, focuses on wrong priorities &amp; undermines values. Dreamers should not be‰Û_ https://t.co/KoUElCYqyD",https://twitter.com/SenBennetCO/status/917484734988644353,61,137,411,SenBennetCO,B001267,D,CO
10/7/17 16:56,With CO Home Building Academy‰Ûªs Pat Hamil talking apprenticeships &amp; internships to train students for future in con‰Û_ https://t.co/MTqBx9bx8b,https://twitter.com/SenBennetCO/status/916708866615803904,3,9,31,SenBennetCO,B001267,D,CO
10/7/17 16:50,Good governance bill to strengthen American assistance around world will ensure transparent &amp; effective investments‰Û_ https://t.co/sqYNiwCUpj,https://twitter.com/SenBennetCO/status/916707362098110465,0,7,27,SenBennetCO,B001267,D,CO
10/6/17 21:38,.@SenateGOP cannot get away with using budget process to circumvent debate about #ArcticRefuge drilling. We must #ProtectTheArctic.,https://twitter.com/SenBennetCO/status/916417278413066241,17,95,286,SenBennetCO,B001267,D,CO
10/6/17 21:17,Thanks to these @CleanAirMoms for important advocacy to protect the planet for our kids &amp; grandkids. #ActOnClimate https://t.co/f7L76H4Q7O,https://twitter.com/SenBennetCO/status/916412129359654912,6,18,40,SenBennetCO,B001267,D,CO
10/6/17 21:12,#CleanPowerPlan repeal would be another @POTUS action to roll back protections for America‰Ûªs children. Wrong priori‰Û_ https://t.co/wpUuX0INES,https://twitter.com/SenBennetCO/status/916410878257397765,6,27,65,SenBennetCO,B001267,D,CO
10/6/17 18:20,Always encouraged by engagement from Coloradans‰ÛÓsee it in town halls &amp; in reactions this week. Thank you: https://t.co/kdsTkAPzLV,https://twitter.com/SenBennetCO/status/916367524320743424,5,8,53,SenBennetCO,B001267,D,CO
10/6/17 18:18,RT @amazon_policy: We have hundreds of employees in the state and love doing business in #CO. Thank you @RepMikeCoffman @SenCoryGardner @Se‰Û_,https://twitter.com/SenBennetCO/status/916367123882143749,4,6,24,SenBennetCO,B001267,D,CO
10/6/17 17:26,Intro'd bill to help #wildfire recovery &amp; prevention efforts with @MikeCrapo @SenatorTester @SenatorRisch @RonWyden: https://t.co/9KikC50oF3,https://twitter.com/SenBennetCO/status/916354039096496128,7,13,25,SenBennetCO,B001267,D,CO
10/6/17 17:03,Trump‰Ûªs attack on birth control is an attack on women‰Ûªs health.  #HandsOffMyBC https://t.co/f1UA2KXwdY,https://twitter.com/SenBennetCO/status/916348170602467334,45,110,364,SenBennetCO,B001267,D,CO
10/6/17 16:37,RT @RepMcEachin: I introduced the bicameral Pollution Transparency Act w/ @SenBennetCO. https://t.co/7xdaRwuOs5 https://t.co/jg12FHm167,https://twitter.com/SenBennetCO/status/916341709688143872,1,11,31,SenBennetCO,B001267,D,CO
10/6/17 16:23,"RT @nowthisnews: .@SenBennetCO: No, constant mass shootings are NOT ‰Û÷the price of freedom‰Ûª https://t.co/s3dTuq0ZPb",https://twitter.com/SenBennetCO/status/916338085624938496,38,507,1247,SenBennetCO,B001267,D,CO
10/6/17 14:35,"We need a #cleanenergy future, and our bill is an important step to making that happen: https://t.co/XpFqbF75gq",https://twitter.com/SenBennetCO/status/916310870887673857,6,15,68,SenBennetCO,B001267,D,CO
10/6/17 14:20,"Resolution we passed ystdy marks October National Energy Awareness Month. On same day, admin began process to rollback the #CleanPowerPlan.",https://twitter.com/SenBennetCO/status/916307280622247937,4,12,32,SenBennetCO,B001267,D,CO
10/6/17 14:12,Admin blatantly disregarded science &amp; economics by undoing carbon pollution metric. Why intro'd bill to standardize‰ Õhttps://t.co/t57o7LnlOy,https://twitter.com/SenBennetCO/status/916305252034457600,8,39,81,SenBennetCO,B001267,D,CO
10/5/17 23:44,Thanks today &amp; everyday to educators around globe giving kids gift of knowledge &amp; creativity. There's no more impor‰Û_ https://t.co/GZ013gtrRq,https://twitter.com/SenBennetCO/status/916086729513283584,3,15,73,SenBennetCO,B001267,D,CO
10/5/17 21:06,"When did this become normal? Read &amp; watch my full remarks on gun violence in America: https://t.co/p8HcP4yZOl #EndGunViolence",https://twitter.com/SenBennetCO/status/916047058313850881,26,27,78,SenBennetCO,B001267,D,CO
10/5/17 20:58,Heard someone say mass shootings are ‰ÛÏprice of freedom.‰Ûù What a shame‰ÛÓwhat a surrender that represents to our kids‰Û_ https://t.co/F0zd4ZcpA0,https://twitter.com/SenBennetCO/status/916044874901868544,107,157,600,SenBennetCO,B001267,D,CO
