"STATION","NAME","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T13:00:00","27.0","51.1","39.1","88.5","77.0","96.1","88.5","88.5"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T14:00:00","27.0","51.1","38.5","89.7","78.1","98.1","89.7","89.7"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T15:00:00","26.1","50.0","38.0","90.3","80.1","99.0","90.3","90.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T16:00:00","24.1","51.1","37.9","90.2","78.1","99.0","90.2","90.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T17:00:00","25.0","51.1","37.5","89.4","78.1","98.1","89.4","89.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T18:00:00","24.1","51.1","37.6","88.0","75.9","97.0","88.0","88.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T19:00:00","25.0","52.0","38.0","85.4","73.0","93.9","85.4","85.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T20:00:00","23.0","53.1","37.5","80.3","70.0","88.0","80.3","80.3"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T21:00:00","21.0","52.0","36.5","76.6","66.9","84.9","76.6","76.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T22:00:00","19.9","52.0","36.9","74.4","66.0","82.0","74.4","74.4"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-01T23:00:00","19.9","53.1","37.6","73.1","64.0","81.0","73.1","73.0"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T00:00:00","21.0","53.1","38.2","71.2","62.1","79.0","71.2","71.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T01:00:00","23.0","52.0","38.6","69.8","62.1","77.0","69.8","69.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T02:00:00","24.1","53.1","39.2","68.6","61.0","75.0","68.6","68.6"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T03:00:00","25.0","53.1","39.4","67.2","60.1","73.9","67.2","67.2"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T04:00:00","25.3","53.1","39.5","65.8","57.9","73.0","65.8","65.8"
"USW00023066","GRAND JUNCTION WALKER FIELD, CO US","07-02T05:00:00","26.1","53.1","39.6","64.6","57.0","72.0","64.6","64.6"
