Date,Filter ID,Mass (mg),,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'23-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41669,0.097815,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'24-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41671,0.097629,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'25-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41669,0.097815,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'26-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'27-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41668,0.098011,,,,,,,,,,,,,,,,,,,,,
'30-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41671,0.09763,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41668,0.09801,,,,,,,,,,,,,,,,,,,,,
'31-Mar-2020',41668,0.098009,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41669,0.097815,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41669,0.097814,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41669,0.097813,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41671,0.097631,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41667,0.095502,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41667,0.0955,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41667,0.095501,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41666,0.098285,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
'01-Apr-2020',41666,0.098286,,,,,,,,,,,,,,,,,,,,,
